MIDDLE-EAST,BAHRAIN,EGYPT,IRAQ,KUWAIT,OMAN,PAKISTAN,QATAR,SAUDI,UAE,OTHERS,AFRICA,ALGERIA,ANGOLA,CAMEROON,CHAD,CONGO,GABON,KENYA,LIBYA,NIGERIA,OTHERS,Latin America,ARGENTINA,BOLIVIA,BRAZIL,CHILE,COLOMBIA,ECUADOR,MEXICO,PERU,TRINIDAD AND TOBAGO,VENEZUELA,Others,EUROPE,ALBANIA,AUSTRIA,CZECH ,DENMARK,FRANCE,GERMANY,HUNGARY,ITALY,LITHUANIA,NETHERLANDS,NORWAY,POLAND,ROMANIA,SERBIA,TURKEY,UK,SAKHALIN,OTHERS,ASIA-PACIFIC,AUSTRALIA,CHINA OFFSHORE,INDIA,INDONESIA,JAPAN,MALAYSIA,NEW ZEALAND,PAPUA NEW GUINEA,PHILIPPINES,THAILAND,VIETNAM,OTHERS
2012,29,447,514,227,340,114,54,576,168,230,2012,288,54,5,14,15,38,16,84,114,110,2012,489,58,550,20,282,155,763,56,35,492,2,2012,30,25,9,7,10,48,13,37,7,52,120,44,57,16,178,131,46,24,2012,131,106,794,259,14,98,38,22,2,112,42,27
2013,50,633,995,382,601,250,106,996,334,113,2013,560,134,29,45,52,68,69,176,213,155,2013,987,104,753,34,510,314,1270,67,40,944,0,2013,67,33,22,21,20,68,25,47,12,92,236,75,97,57,388,198,103,59,2013,217,216,1422,458,15,139,91,44,37,214,38,55
2014,45,634,949,458,707,256,125,1238,393,52,2014,572,178,29,109,53,80,142,124,174,147,2014,1239,94,552,48,518,288,1027,81,36,885,0,2014,70,33,24,24,36,48,24,59,23,112,198,65,149,60,497,184,96,40,2014,245,334,1479,407,7,107,64,62,28,203,61,52
2015,14,502,624,559,802,265,92,1488,484,16,2015,609,135,22,26,43,48,133,34,131,91,2015,1261,57,484,32,303,145,621,32,64,813,12,2015,29,8,24,32,10,32,24,45,24,62,204,94,111,60,363,170,83,25,2015,191,334,1318,328,0,95,17,39,37,207,39,29
2016,8,341,514,532,792,282,94,1500,579,2,2016,642,75,7,0,18,7,127,12,69,58,2016,817,60,233,36,99,50,306,9,55,694,18,2016,8,0,14,13,2,45,20,49,4,34,198,77,63,40,351,105,86,43,2016,74,328,1299,211,6,51,1,21,25,156,35,34
2017,17,202,378,436,442,184,84,954,392,10,2017,432,23,11,2,13,5,77,8,66,31,2017,458,29,125,16,167,54,158,16,51,416,1,2017,16,1,3,6,9,24,9,28,0,13,121,78,47,20,187,75,86,26,2017,110,156,908,188,11,36,0,9,10,98,25,27
